id,social_network_account_id,social_network_account_followers,code_iso,comments,like,love,haha,wow,angry,sad,shares,post_impressions,post_impressions_unique,post_consumptions,total_video_views,total
455,29257,595742,PE,8,139,16,16,2,0,1,0,81821,57061,2357,0,2539
457,28233,70458,PE,37,983,172,26,96,1,1,3,50962,31729,5718,0,7037
569,29221,59057,PE,8,69,9,0,0,0,0,1,4399,2803,69,0,155
443,44346,58211,PE,4,39,0,24,1,0,0,0,9883,6413,1317,0,1385
474,41199,2551,CO,0,2,0,0,0,0,0,1,339,185,5,0,8
472,41199,2551,CO,0,3,0,0,0,0,0,0,353,208,7,0,10
304,30710,323403,MX,0,137,5,0,2,0,0,0,10242,6399,164,1433,1741
208,39414,242665,PE,51,3005,127,37,3,0,2,8,129830,87276,1979,0,5212
587,25722,9486,CO,12,73,8,0,0,0,0,3,15009,8189,426,0,522
447,30275,229998,MX,6,96,22,0,3,1,0,5,67834,56054,589,11018,11740
175,33252,2091353,MX,0,585,18,6,0,0,0,0,45093,31345,1049,0,1658
501,41199,2551,CO,0,3,0,0,0,0,0,0,168,112,1,0,4
489,31030,2697896,US,80,690,35,4,2,0,0,24,213894,156178,2322,0,3157
481,41199,2551,CO,0,2,0,0,0,0,0,2,563,352,4,0,8
454,28622,2057157,MX,2,11,0,0,0,0,0,1,23744,18161,254,0,268
493,46020,10505,CO,2,1,1,0,0,0,0,0,734,0,0,0,4
581,48508,1215030,MX,100,1905,144,0,9,0,2,126,186373,125570,2409,0,4695
494,30664,87,CO,0,0,0,0,0,0,0,0,0,0,0,0,0
445,30252,335951,MX,50,8344,3804,48,13,3,4,36,119024,83316,1064,0,13366
477,25801,13821,CL,5,160,27,0,0,0,0,3,14310,9559,568,0,763
118,38505,1049579,PE,3,148,9,0,0,0,6,0,27811,20723,530,0,696
492,48215,580415,CO,0,67,4,1,0,0,0,0,4231,0,0,0,72
487,30275,229998,MX,36,696,177,3,0,0,0,6,31112,25489,932,0,1850
205,41652,229388,PE,55,1691,93,8,5,0,1,54,57585,35313,1776,0,3683
497,33529,5451,CO,2,12,2,0,0,0,0,1,4921,2477,30,67,114
475,28738,343053,MX,4,247,56,2,1,0,0,4,25132,16981,1790,0,2104
234,28738,343053,MX,4,158,30,1,1,0,0,3,12883,8837,1132,0,1329
483,40567,261659,MX,1,58,5,0,0,0,0,0,10800,9989,225,0,289
560,41611,9878,MX,16,38,11,0,0,0,4,16,1953,1148,64,0,149
486,41199,2551,CO,0,1,0,0,0,0,0,1,194,106,0,0,2
495,41199,2551,CO,0,2,0,0,0,0,0,1,234,139,2,0,5
332,39414,242665,PE,2,50,4,0,0,0,0,7,13130,8610,328,1264,1655
459,30719,456786,PE,55,341,63,148,4,5,0,0,51302,32473,2812,0,3428
488,30275,229998,MX,5,311,0,22,1,1,0,3,31698,27657,2246,0,2589
610,38289,29605,CO,1,10,3,0,0,0,0,0,2234,1404,34,0,48
451,33938,625622,PE,3,194,11,7,1,0,0,2,63316,38707,893,0,1111
490,41199,2551,CO,0,1,0,0,0,0,0,0,114,68,1,0,2
482,41199,2551,CO,0,20,0,0,0,0,0,9,7371,4061,295,0,324
460,28622,2057157,MX,0,8,0,0,0,0,0,1,9155,5951,91,0,100
500,41199,2551,CO,0,5,0,0,0,0,0,1,282,181,8,0,14
570,42191,833761,MX,223,8027,628,24,9,0,1,18,119361,0,10742,0,8930
555,28985,239389,PE,244,12323,2799,63,38,8,6,35,333864,217229,25937,0,41453
616,29438,12000,CO,1,27,7,0,0,0,0,1,12060,0,1085,335,36
529,30315,3008,MX,13,35,5,0,0,0,0,0,309,0,0,0,53
517,23526,17550,CO,0,2,0,0,0,0,0,0,18330,9669,5,0,7
520,41199,2551,CO,0,3,0,0,0,0,0,1,269,155,1,0,5
530,30315,3008,MX,11,36,0,0,0,0,0,0,279,0,0,0,47
505,41199,2551,CO,0,3,0,0,0,0,0,2,287,186,3,0,8
536,30315,3008,MX,5,24,1,0,1,0,0,4,245,0,0,0,35
531,30315,3008,MX,1,13,3,0,0,0,0,1,235,0,0,0,18
503,41199,2551,CO,0,3,0,0,0,0,0,0,147,91,1,0,4
535,30315,3008,MX,0,2,0,0,0,0,0,1,154,0,0,0,3
